symbol,detail,numbers,page,source
Abdone,,43,45,1881 Capacelli - Il vero libro dei sogni
Abramo,,80,45,1881 Capacelli - Il vero libro dei sogni
Acasio,,59,45,1881 Capacelli - Il vero libro dei sogni
Achille,,10,45,1881 Capacelli - Il vero libro dei sogni
Adalberto,,19,45,1881 Capacelli - Il vero libro dei sogni
Adamo,,19,45,1881 Capacelli - Il vero libro dei sogni
Adelaide,,44,45,1881 Capacelli - Il vero libro dei sogni
Adelelmo,,47,45,1881 Capacelli - Il vero libro dei sogni
Adriano,,1,45,1881 Capacelli - Il vero libro dei sogni
Agapito,,21,45,1881 Capacelli - Il vero libro dei sogni
Agata,,45,45,1881 Capacelli - Il vero libro dei sogni
Agnese,,38 78,45,1881 Capacelli - Il vero libro dei sogni
Agostino,,1 34,45,1881 Capacelli - Il vero libro dei sogni
Agricola,,18,45,1881 Capacelli - Il vero libro dei sogni
Agrippina,,39,45,1881 Capacelli - Il vero libro dei sogni
Agrippino,,60,45,1881 Capacelli - Il vero libro dei sogni
Albano,,82,45,1881 Capacelli - Il vero libro dei sogni
Alberico,,22,45,1881 Capacelli - Il vero libro dei sogni
Alberto,,51 71,45,1881 Capacelli - Il vero libro dei sogni
Albino,,37 82,45,1881 Capacelli - Il vero libro dei sogni
Alessandro,,3,45,1881 Capacelli - Il vero libro dei sogni
Alessio,,17 28,45,1881 Capacelli - Il vero libro dei sogni
Alfonso,,57,45,1881 Capacelli - Il vero libro dei sogni
Alvaro,,62,45,1881 Capacelli - Il vero libro dei sogni
Babbiano,,51,45,1881 Capacelli - Il vero libro dei sogni
Babila,,64,45,1881 Capacelli - Il vero libro dei sogni
Balbina,,88,45,1881 Capacelli - Il vero libro dei sogni
Amanzio,,41,45,1881 Capacelli - Il vero libro dei sogni
Ambrogio,,5,45,1881 Capacelli - Il vero libro dei sogni
Anacleto,,83,45,1881 Capacelli - Il vero libro dei sogni
Anastasia,,17,45,1881 Capacelli - Il vero libro dei sogni
Anastasio,,30,45,1881 Capacelli - Il vero libro dei sogni
Andrea,,84,45,1881 Capacelli - Il vero libro dei sogni
Angelica,,80,45,1881 Capacelli - Il vero libro dei sogni
